City,Country,Latitude,Longitude,dt,p10,p50,p90
cajamarca,peru,7.23s,78.65w,2013-10-01,9.224562121007146,10.55822196661279,11.816803172452328
cajamarca,peru,7.23s,78.65w,2013-11-01,7.380213739584267,8.914605717394105,10.692350733819877
copiapo,chile,28.13s,70.00w,2013-10-01,7.762687205706271,9.415939036377564,10.932167107663005
copiapo,chile,28.13s,70.00w,2013-11-01,7.52083399845695,9.145462736279857,10.721182884593487
da nang,vietnam,15.27n,107.50e,2013-10-01,17.935056365732812,19.967349967509474,21.97878241140795
da nang,vietnam,15.27n,107.50e,2013-11-01,14.55932752383925,16.584626221585765,19.116713432537395
chisinau,moldova,47.42n,29.61e,2013-10-01,4.383161961537042,7.413320013321202,10.960263285288503
chisinau,moldova,47.42n,29.61e,2013-11-01,-1.7522204813546305,1.5936358791562553,6.0831936316058375
linz,austria,49.03n,14.69e,2013-10-01,3.3919641714382007,6.041221242966763,8.700316358701247
linz,austria,49.03n,14.69e,2013-11-01,-1.622138467786275,0.9501895828048941,4.881902525833477
nacala,mozambique,15.27s,40.83e,2013-10-01,19.041233363560256,21.00273098630199,23.02780446279627
nacala,mozambique,15.27s,40.83e,2013-11-01,16.648680202996402,18.678916306305524,20.923588705012463
francisco morato,brazil,23.31s,46.31w,2013-10-01,16.033996243238516,17.977146874685687,19.934378844879166
francisco morato,brazil,23.31s,46.31w,2013-11-01,14.625253286559168,16.503407652969244,18.612639564809815
khandwa,india,21.70n,77.02e,2013-10-01,17.343648967774634,19.77696563697764,21.847925797256266
khandwa,india,21.70n,77.02e,2013-11-01,12.253753985211041,15.02766445734485,18.313244414076493
americana,brazil,23.31s,48.06w,2013-10-01,16.958212096497647,19.04165084209339,21.033431161866382
americana,brazil,23.31s,48.06w,2013-11-01,15.50849767571884,17.45477929700273,19.57578647623927
bhind,india,26.52n,78.81e,2013-10-01,16.873215231654726,19.703136233991415,22.147370496166005
bhind,india,26.52n,78.81e,2013-11-01,10.150663779937991,13.239504338473202,17.503854041264148
lyubertsy,russia,55.45n,36.85e,2013-10-01,-0.6768405136253445,2.666714760953521,6.618943008917382
lyubertsy,russia,55.45n,36.85e,2013-11-01,-7.228160004576115,-3.2063519441933805,1.5406367438026416
aurangabad,india,20.09n,75.07e,2013-10-01,16.45786699370619,18.710201938351588,20.408296266649305
aurangabad,india,20.09n,75.07e,2013-11-01,12.020110538983095,14.934965839527887,17.753424492689767
brunswick,germany,52.24n,10.51e,2013-10-01,5.064388718439965,7.586793102524484,10.009734182400575
brunswick,germany,52.24n,10.51e,2013-11-01,-0.043634992495522384,2.3217034304219606,5.8208432680587805
my tho,vietnam,10.45n,105.55e,2013-10-01,18.315911952506344,20.16855921724692,22.07356559738775
my tho,vietnam,10.45n,105.55e,2013-11-01,15.793321845341628,17.781789751932465,20.230331794528777
girón,colombia,7.23n,73.78w,2013-10-01,15.178512725547666,16.90250227531713,18.735713811873808
girón,colombia,7.23n,73.78w,2013-11-01,12.886078019853944,14.752350092196272,17.090684033520894
hosur,india,12.05n,77.26e,2013-10-01,17.637587559960433,19.420046484615174,21.254793287783606
hosur,india,12.05n,77.26e,2013-11-01,13.858935824445805,15.905308164603477,18.23543584724309
nefteyugansk,russia,61.88n,73.02e,2013-10-01,-8.89533235204956,-3.093895095024807,2.9611259183045573
nefteyugansk,russia,61.88n,73.02e,2013-11-01,-19.79633856840598,-13.21545318606066,-5.964396637633189
bissau,guinea bissau,12.05n,14.79w,2013-10-01,15.983278290732859,17.837234085421308,19.775266429525644
bissau,guinea bissau,12.05n,14.79w,2013-11-01,13.265021877825172,15.424460295177457,17.849057880866
shizuishan,china,39.38n,106.13e,2013-10-01,1.984848952262773,5.052409044134272,8.69373441015334
shizuishan,china,39.38n,106.13e,2013-11-01,-4.8602754113186215,-1.2990906030112486,3.6523744711641086
kryvyy rih,ukraine,47.42n,34.34e,2013-10-01,4.423140939103518,7.519867725174795,10.618272593904322
kryvyy rih,ukraine,47.42n,34.34e,2013-11-01,-1.6692020563117227,1.7244194041327652,6.207240428408777
pokhara,nepal,28.13n,84.55e,2013-10-01,10.43867181636272,12.640852337055248,14.737607124806612
pokhara,nepal,28.13n,84.55e,2013-11-01,5.499161389041318,7.70728443838428,10.859680516022845
shulin,taiwan,24.92n,120.59e,2013-10-01,17.633334221253108,19.907812667242595,21.899404925417915
shulin,taiwan,24.92n,120.59e,2013-11-01,13.512207928972957,15.962050406662232,18.96155132404431
alcorcón,spain,40.99n,4.26w,2013-10-01,7.731079779526205,10.129282513011919,12.710235961044877
alcorcón,spain,40.99n,4.26w,2013-11-01,2.8044450529350526,4.932808643864616,8.301615599454857
rybnik,poland,50.63n,19.01e,2013-10-01,4.234281963983547,7.056115430532662,9.734600304756626
rybnik,poland,50.63n,19.01e,2013-11-01,-1.3810023625531944,1.752669476482894,5.718448424259703
kasukabe,japan,36.17n,139.23e,2013-10-01,8.908541313338297,11.362557047190464,14.135954957537747
kasukabe,japan,36.17n,139.23e,2013-11-01,2.801023499866938,5.107612910445518,8.856558385701732
luxor,egypt,26.52n,32.24e,2013-10-01,17.760701354850745,20.80690407289244,23.51340666159188
luxor,egypt,26.52n,32.24e,2013-11-01,11.571267032401034,14.56754040501335,18.62278374582742
reutlingen,germany,49.03n,9.80e,2013-10-01,4.916547885437975,7.591448964123757,10.122281817815296
reutlingen,germany,49.03n,9.80e,2013-11-01,-0.29697911118565734,1.9822555367042276,5.743683050284723
canberra,australia,36.17s,149.17e,2013-10-01,8.825245197571432,10.98597749668227,12.855346713593175
canberra,australia,36.17s,149.17e,2013-11-01,9.625028698724376,11.547137122589364,13.488566281443234
magelang,indonesia,7.23s,109.46e,2013-10-01,19.39583220521797,21.196992338044428,23.02520844165962
